mobile_recharge_avg,utility_bill_ontime_pct,monthly_transactions,employment_type,monthly_income,existing_debt,mobile_wallet_txn_volume,residence_years,credit_score
926.04,3.69,19,self-employed,94558.14,yes,25382.61,11,Medium
249.29,27.86,48,self-employed,136973.76,yes,12358.31,19,Medium
520.2,48.95,20,unemployed,147962.36,yes,12481.74,3,Low
2049.19,76.16,23,daily-wage,41744.53,yes,36546.71,1,Medium
1166.57,63.23,15,salaried,97961.22,yes,27020.85,15,Medium
361.84,83.53,4,self-employed,53550.77,yes,9732.67,15,Medium
218.25,59.09,35,self-employed,104214.14,no,1321.1,16,High
1585.07,22.65,38,unemployed,99614.54,yes,9131.14,17,Medium
2103.72,38.67,48,self-employed,141015.66,no,7307.29,12,High
1089.09,11.35,42,daily-wage,139306.49,no,43928.3,16,High
848.03,66.0,28,salaried,124045.55,yes,27982.44,7,High
1635.99,24.19,4,daily-wage,21220.59,yes,44912.18,18,Low
2711.21,63.31,35,self-employed,56142.23,yes,17785.87,0,Medium
2205.27,89.71,4,salaried,133966.27,yes,39103.84,2,High
1961.89,8.41,2,daily-wage,30951.28,yes,44978.43,16,Low
1858.64,0.92,15,daily-wage,22408.96,no,33343.34,6,Medium
114.68,16.08,34,self-employed,85920.2,no,34748.81,7,High
1990.69,22.43,50,unemployed,109129.45,no,12243.83,6,High
1043.66,74.65,6,salaried,100247.87,no,42536.56,11,High
2007.08,56.83,27,unemployed,21301.82,no,18701.93,1,Medium
869.09,24.4,43,salaried,146167.5,yes,19958.34,12,Medium
2686.94,63.11,46,daily-wage,120863.21,yes,25380.54,7,High
1773.02,49.25,12,self-employed,35724.5,no,36261.38,4,Medium
914.24,2.43,27,self-employed,99657.07,no,9266.98,14,Medium
2827.33,95.39,15,salaried,137910.74,no,18822.86,17,High
144.82,92.83,6,salaried,68802.15,yes,48349.41,2,Medium
2894.5,85.3,48,self-employed,49811.74,yes,19562.34,13,High
2568.3,31.69,31,unemployed,32067.97,yes,28061.66,12,Medium
2814.85,69.6,3,self-employed,88948.69,no,5310.24,0,Medium
1883.52,99.01,24,daily-wage,27891.93,no,26157.32,9,High
2644.38,74.08,27,unemployed,106976.24,yes,35272.96,6,High
1142.52,29.36,18,self-employed,122929.28,yes,40600.61,18,Medium
2614.51,91.32,47,salaried,80610.62,no,25325.06,1,High
2415.06,65.0,3,unemployed,107679.3,yes,39891.74,1,Medium
2681.02,33.8,32,salaried,61332.78,yes,5152.11,2,Medium
1777.01,3.59,38,salaried,74114.92,yes,27360.91,12,High
930.97,59.08,7,self-employed,12331.04,yes,2348.74,19,Low
2485.54,36.02,5,unemployed,26042.59,no,26351.04,8,Medium
2332.98,21.58,13,daily-wage,96450.45,yes,4724.7,8,Low
249.88,53.14,25,self-employed,84770.19,no,32052.78,14,High
2205.66,97.59,20,salaried,81314.65,yes,16486.35,14,High
2406.04,27.08,39,salaried,70333.94,yes,4383.59,17,Medium
173.52,96.26,13,daily-wage,126709.18,yes,34950.72,11,Medium
1285.96,17.33,4,self-employed,30214.06,no,12887.02,9,Low
1692.76,71.46,10,unemployed,101748.03,no,14356.73,19,Medium
2869.11,73.79,41,salaried,86718.28,no,30780.18,3,High
1316.84,24.77,8,daily-wage,58548.12,yes,38013.38,3,Low
141.74,11.61,47,self-employed,14532.38,no,2516.08,9,Medium
2580.84,70.37,38,self-employed,75332.68,no,5342.79,6,High
1525.69,47.35,43,daily-wage,32594.67,no,21975.66,8,Medium
1255.66,61.59,3,salaried,98183.3,no,2742.55,8,Medium
1186.38,62.59,2,salaried,79445.35,no,42896.25,4,Medium
2010.21,16.29,40,daily-wage,18020.76,yes,32299.75,14,Medium
176.88,58.58,35,unemployed,141512.69,yes,28985.97,3,Medium
1225.69,64.33,4,self-employed,73071.91,yes,27508.03,11,Medium
2830.25,38.61,37,self-employed,144489.06,no,45314.86,4,High
667.79,6.94,2,daily-wage,22310.48,no,1401.98,1,Low
373.88,68.3,22,self-employed,18108.79,yes,16289.29,3,Low
2550.14,2.33,22,unemployed,123654.52,yes,14451.81,7,Medium
442.68,69.67,10,self-employed,97309.88,no,43934.86,0,Medium
2231.71,80.35,11,daily-wage,48048.91,no,9283.26,7,Medium
2276.78,80.68,17,self-employed,148651.73,yes,20924.58,12,High
1178.85,77.64,2,unemployed,56394.1,yes,46572.49,6,Medium
2589.4,42.9,29,daily-wage,114623.69,no,37849.87,7,High
399.06,90.26,14,salaried,79745.84,yes,41409.64,12,Medium
1028.14,89.55,21,daily-wage,63266.64,yes,1036.46,8,Medium
2725.61,9.13,22,unemployed,53342.54,no,47528.07,0,Medium
2856.76,57.34,7,daily-wage,97720.88,yes,22698.05,18,Medium
950.31,32.87,16,salaried,103497.62,yes,37742.54,19,Medium
2395.58,78.96,27,daily-wage,20951.27,no,24973.81,13,Medium
266.92,54.95,38,salaried,70697.33,no,44441.36,18,High
1117.65,11.71,12,daily-wage,28304.82,yes,38194.78,13,Low
1892.83,10.11,0,self-employed,19943.17,no,35197.97,13,Medium
311.01,82.19,4,daily-wage,108286.4,no,4526.76,3,Medium
346.03,98.66,46,daily-wage,61146.45,no,18846.79,13,High
2457.12,94.72,20,unemployed,148012.15,no,37792.22,17,High
1191.15,8.35,8,self-employed,118354.86,no,28141.01,12,Medium
1330.24,90.64,43,self-employed,23790.04,no,24884.94,12,High
132.93,46.87,35,salaried,15995.07,no,6381.49,9,Medium
440.83,64.92,13,unemployed,113938.37,no,29376.75,14,Medium
2890.3,37.49,28,unemployed,48571.12,yes,43495.66,16,Medium
748.43,96.32,30,self-employed,9725.94,yes,48509.0,9,Medium
225.16,89.11,32,daily-wage,82933.56,yes,49651.76,7,High
314.01,55.39,43,daily-wage,145640.96,yes,26393.34,6,High
1925.26,69.57,9,salaried,72544.83,yes,31564.12,7,Medium
1794.51,90.12,30,salaried,14453.39,no,14407.68,13,High
2856.19,89.03,40,self-employed,72703.26,no,31196.56,15,High
904.41,18.81,25,self-employed,73845.17,yes,17990.94,20,Medium
1792.6,7.77,44,salaried,146364.06,yes,49317.43,13,High
2124.67,53.61,14,self-employed,51952.92,no,40782.85,1,Medium
2085.72,16.26,35,self-employed,137351.66,yes,41215.59,14,High
2854.42,72.57,8,unemployed,95104.96,no,21203.03,14,Medium
2804.91,86.61,39,unemployed,14421.05,no,1805.17,5,High
1191.74,81.06,47,unemployed,148193.21,no,7945.64,8,High
1822.98,38.09,48,self-employed,145727.84,no,42184.89,16,High
2531.15,46.87,31,self-employed,66904.37,no,14033.65,14,High
263.49,86.47,4,daily-wage,123431.94,yes,49986.02,8,Medium
2990.25,55.54,21,daily-wage,117196.21,yes,47265.9,4,High
2563.98,24.73,9,self-employed,71977.27,no,6893.39,4,Medium
2866.75,60.62,45,self-employed,40467.28,yes,33749.18,13,High
1892.57,35.82,26,daily-wage,24125.18,no,33742.87,13,Medium
1608.89,77.23,3,self-employed,81863.22,no,42682.98,12,High
1700.53,56.09,49,salaried,132484.81,no,20472.4,15,High
488.64,2.88,0,daily-wage,115229.49,no,31205.32,12,Medium
2141.83,21.3,26,self-employed,27364.75,no,1219.96,7,Medium
1116.7,58.99,17,unemployed,63698.65,no,22155.01,0,Medium
2722.06,34.83,24,daily-wage,80986.51,no,39290.82,5,Medium
1249.97,62.21,29,self-employed,130455.65,yes,47501.27,12,High
526.51,92.66,37,salaried,77880.51,yes,13283.1,20,High
1431.49,98.0,27,self-employed,77951.77,no,16773.2,5,High
1936.86,24.01,3,daily-wage,18772.59,no,6879.55,10,Low
471.33,15.19,13,unemployed,27713.46,no,32223.3,10,Low
627.45,34.57,48,unemployed,135343.95,no,23961.1,13,High
2035.92,17.23,16,salaried,35305.04,no,2523.0,0,Medium
589.91,27.86,47,salaried,33135.49,no,4890.78,7,Medium
449.84,46.08,41,salaried,37299.39,yes,18531.36,0,Low
1559.91,69.04,15,self-employed,13582.32,yes,40070.81,19,Medium
1920.91,8.18,9,self-employed,132048.16,yes,46083.18,15,Medium
277.13,27.69,42,salaried,122480.58,yes,37538.85,14,High
635.11,20.93,44,daily-wage,60607.04,no,24483.89,5,Medium
1892.94,36.89,38,salaried,73679.93,yes,37499.81,9,High
206.38,25.24,6,salaried,109295.64,no,44812.74,18,Medium
1583.86,53.21,43,unemployed,23218.43,no,22646.91,6,High
1644.59,24.25,4,self-employed,46232.54,yes,19175.57,9,Medium
158.21,32.21,43,salaried,38025.62,yes,16711.12,11,Medium
447.31,89.05,34,unemployed,92290.13,no,34115.56,2,High
2388.6,49.84,32,daily-wage,20342.68,yes,27086.77,13,Medium
1801.84,74.54,31,salaried,69295.66,no,6815.22,11,High
922.95,36.31,40,unemployed,99720.25,yes,28753.53,13,Medium
1132.68,98.65,11,daily-wage,94020.02,no,12242.73,14,Medium
395.17,15.29,27,daily-wage,42926.0,no,8453.73,7,Medium
641.04,28.51,5,daily-wage,32619.05,no,44889.89,7,Low
332.68,52.45,48,unemployed,66276.35,no,49127.74,10,High
424.91,39.79,1,unemployed,145664.8,no,43342.6,5,Medium
2469.51,25.79,31,self-employed,32266.04,no,33597.84,8,High
2795.19,55.68,21,daily-wage,89169.0,no,14358.97,17,Medium
2331.53,18.7,0,self-employed,53962.45,yes,21559.1,7,Medium
1572.07,24.24,46,unemployed,24306.83,no,30725.69,17,Medium
937.03,58.12,48,self-employed,29919.51,no,24316.44,20,High
1644.51,5.18,45,unemployed,55797.81,no,7153.53,0,Medium
283.79,99.0,5,daily-wage,53774.25,yes,40588.79,12,Medium
838.46,68.15,44,self-employed,115952.36,no,29984.12,18,High
1467.57,41.18,23,unemployed,57539.29,no,46511.69,13,Medium
2508.8,96.5,47,daily-wage,25650.21,no,36677.94,14,High
2821.19,18.12,17,daily-wage,17442.47,no,37185.47,7,Medium
1765.97,84.18,7,self-employed,27847.68,no,39865.73,3,Medium
684.72,16.37,47,self-employed,31325.74,yes,40821.45,6,Medium
2029.07,52.31,47,unemployed,58953.93,no,43921.43,18,High
1238.09,81.66,48,daily-wage,70357.16,yes,19158.75,6,Medium
1441.77,30.14,18,self-employed,114160.53,no,25384.66,5,High
773.42,89.96,19,salaried,62512.55,yes,27405.87,8,High
2728.77,62.42,2,salaried,24599.52,no,47021.69,4,Medium
1920.35,33.49,40,unemployed,27776.63,yes,39804.25,0,Medium
1898.21,53.35,36,daily-wage,134932.75,no,39535.56,15,High
539.86,31.17,28,daily-wage,43285.46,yes,37325.34,1,Low
197.24,56.99,16,unemployed,116269.13,yes,43899.9,2,Medium
1092.04,82.13,25,unemployed,23709.71,yes,42399.39,18,Medium
469.72,39.73,40,salaried,121215.94,yes,7920.91,4,Medium
764.83,72.23,36,daily-wage,110245.19,yes,32236.81,7,High
2112.45,54.27,7,unemployed,43755.47,yes,17611.95,16,Medium
626.63,90.85,24,unemployed,90841.63,no,20342.15,9,High
1439.82,94.73,37,unemployed,29775.9,no,29518.38,18,High
1567.08,61.15,39,salaried,10571.65,yes,43670.13,6,High
2803.14,56.51,40,self-employed,106924.42,no,46163.72,2,High
2150.99,15.25,10,self-employed,89832.95,yes,30532.39,17,Medium
1329.98,73.64,4,self-employed,140680.12,yes,46315.64,13,Medium
1407.43,11.32,28,unemployed,147847.45,no,42025.46,1,Medium
461.52,92.08,14,daily-wage,131525.28,no,26182.48,14,High
1814.7,39.9,4,self-employed,15776.15,no,17092.26,20,Medium
2428.28,0.46,37,self-employed,55356.88,no,20209.35,3,High
1658.45,91.99,34,self-employed,57181.13,yes,17674.18,8,High
2238.75,45.22,9,salaried,39893.88,yes,22895.76,5,Medium
508.49,17.64,50,daily-wage,78768.22,no,21236.81,14,Medium
2753.05,36.24,7,unemployed,90443.55,no,31797.08,12,Medium
137.97,66.35,17,unemployed,33281.11,no,48072.98,2,Medium
531.12,41.46,38,salaried,20119.65,no,49845.28,10,Medium
1556.37,59.54,38,daily-wage,17524.86,yes,37623.04,2,Medium
708.73,89.81,14,salaried,37129.83,no,9939.04,18,Medium
205.99,47.21,2,self-employed,88207.44,no,3752.58,16,Medium
2349.03,45.33,41,unemployed,82463.42,no,22317.76,5,High
1262.21,55.96,37,unemployed,30044.11,no,9505.44,2,Medium
2599.18,94.61,30,daily-wage,61009.92,no,13901.86,10,High
1967.6,40.87,20,salaried,11604.86,yes,8229.55,10,Medium
2176.32,65.89,26,unemployed,11847.63,no,11487.62,12,Medium
770.12,67.19,48,salaried,10798.9,no,5653.37,2,Medium
2419.76,17.85,20,daily-wage,100689.95,no,12290.05,3,Medium
388.38,24.32,49,unemployed,110561.9,yes,42856.98,17,Medium
2507.64,39.72,29,unemployed,102868.09,yes,10646.72,6,Medium
950.13,89.63,33,daily-wage,9846.27,no,4732.67,20,Medium
702.87,2.65,28,salaried,33763.83,yes,29360.56,8,Medium
1322.13,89.27,35,self-employed,124076.99,no,17419.96,14,High
852.33,37.97,44,unemployed,91821.88,yes,13769.15,0,Low
1910.03,40.94,40,self-employed,86390.7,yes,22088.26,9,High
953.95,94.85,35,salaried,116432.02,no,7435.6,2,High
2618.56,48.74,14,salaried,135026.42,no,40092.84,3,Medium
1333.12,2.25,41,self-employed,46152.19,no,27310.89,9,High
1937.09,25.79,32,daily-wage,27788.56,no,41829.05,15,Medium
2954.77,52.57,30,self-employed,32378.46,no,13979.21,17,Medium
153.33,91.43,9,unemployed,24720.65,yes,29037.57,19,Medium
894.76,55.42,32,self-employed,100501.7,yes,41572.22,8,High
698.62,1.1,49,unemployed,27437.76,no,45050.92,16,Medium
2634.28,59.74,17,salaried,93273.39,no,33419.32,9,High
608.58,91.44,37,unemployed,67465.41,yes,19465.36,14,Medium
1604.86,4.7,34,unemployed,31612.24,no,37032.66,10,Medium
340.12,60.32,35,unemployed,42839.57,no,19770.13,10,Medium
937.21,35.57,12,self-employed,110104.52,no,15207.52,7,Medium
1742.57,47.61,49,unemployed,102241.31,yes,46873.07,10,High
2224.46,21.49,47,unemployed,12428.01,no,13482.07,12,Medium
1825.73,5.14,42,self-employed,78484.01,no,30043.72,1,High
1069.31,77.09,8,daily-wage,23136.95,yes,4219.32,14,Low
2211.75,49.55,6,unemployed,105753.14,yes,22023.95,4,Medium
814.57,81.91,26,self-employed,121517.05,yes,34887.48,15,High
889.22,59.02,50,daily-wage,59258.29,no,5033.31,19,Medium
2760.21,13.68,44,unemployed,142933.7,yes,22577.29,10,High
636.89,54.19,43,unemployed,131958.31,no,36745.13,20,High
2439.03,65.88,45,unemployed,106303.27,yes,42535.18,19,High
824.04,48.94,4,self-employed,39411.74,no,49389.57,7,Medium
2837.77,3.94,47,salaried,108191.67,no,46299.79,3,High
623.67,56.79,48,salaried,137999.34,no,2180.33,5,High
2122.52,29.73,44,daily-wage,139264.26,yes,48567.38,1,Medium
2838.37,47.42,20,salaried,130410.06,no,42305.2,11,High
1025.39,82.89,23,unemployed,13255.08,yes,30015.36,7,Medium
767.03,12.06,33,unemployed,18927.35,yes,34966.29,5,Medium
1085.64,72.48,11,salaried,17280.6,no,16106.87,19,Medium
1664.52,79.07,43,self-employed,53262.86,no,31481.62,18,High
2669.34,61.59,9,self-employed,41080.25,no,1707.84,20,Medium
2623.29,2.13,16,unemployed,132207.64,no,26682.39,0,Medium
2823.3,79.88,29,daily-wage,149706.64,yes,17860.23,2,Medium
2324.85,40.19,28,daily-wage,76142.34,no,31561.52,20,Medium
2633.66,98.41,27,daily-wage,117094.82,no,21179.46,9,High
1321.94,73.76,12,unemployed,41906.35,no,5968.47,3,Low
1128.4,28.72,15,unemployed,50075.75,no,12063.58,18,Low
222.07,1.79,18,daily-wage,148256.58,yes,21674.77,12,Medium
1214.55,67.96,17,salaried,38992.05,yes,47523.08,19,Medium
2380.4,8.94,47,unemployed,67296.47,no,44016.36,7,High
2839.72,46.74,38,daily-wage,95104.42,yes,8768.18,20,Medium
2974.39,23.17,12,daily-wage,141867.91,yes,32657.51,20,Medium
1862.44,51.27,6,salaried,40755.11,no,9238.14,14,Medium
739.41,18.64,2,daily-wage,118701.0,yes,17831.2,2,Low
267.74,96.91,18,daily-wage,133497.6,no,46423.74,5,High
2985.23,17.39,12,self-employed,64266.37,no,38032.8,16,Medium
2118.46,15.39,32,daily-wage,123848.3,yes,11609.81,8,Medium
749.07,53.7,30,daily-wage,92197.47,no,29214.27,3,Medium
365.31,87.75,29,salaried,45715.21,yes,6910.99,7,Medium
2677.37,95.57,43,unemployed,130422.12,no,40571.05,2,High
2000.2,55.09,50,unemployed,20352.12,yes,20718.43,8,Medium
1180.8,25.98,34,salaried,110725.66,no,25045.85,11,High
335.03,22.02,43,daily-wage,105022.74,no,4268.48,20,Medium
2568.5,49.51,23,salaried,76243.29,yes,29824.19,15,Medium
2491.57,34.78,1,daily-wage,104278.29,yes,28503.73,20,Medium
874.38,87.86,4,unemployed,121234.5,no,33093.37,20,High
2566.69,86.73,26,salaried,108587.54,yes,41932.16,1,High
2122.67,68.01,2,daily-wage,95842.82,no,37759.47,3,Medium
559.95,88.09,6,self-employed,131801.78,yes,1947.74,12,Medium
2494.87,12.89,29,daily-wage,55586.88,no,37303.66,18,Medium
566.2,81.8,47,self-employed,126163.05,no,25619.65,20,High
118.52,28.7,6,unemployed,95603.62,no,49068.72,8,Medium
1932.26,25.98,2,daily-wage,98028.81,yes,27229.28,14,Medium
2361.55,10.7,28,self-employed,116065.96,no,27292.7,3,High
2892.68,34.19,43,daily-wage,97832.31,no,46635.39,1,Medium
397.28,93.72,25,daily-wage,105679.77,yes,3857.93,3,Medium
972.79,70.82,29,salaried,17563.79,yes,29317.44,20,Medium
1103.06,62.09,40,salaried,14495.37,yes,43641.07,10,Medium
2923.12,96.89,15,self-employed,114450.56,yes,6939.27,2,Medium
